count,start_year,start_month,start_day,start_hour,end_year,end_month,end_day,end_hour
1, 1989, 12,31,00, 1990, 01,06,00
2, 1990, 01,05,00, 1990, 01,11,00
3, 1990, 01,10,00, 1990, 01,16,00
4, 1990, 01,15,00, 1990, 01,21,00
5, 1990, 01,20,00, 1990, 01,26,00
6, 1990, 01,25,00, 1990, 01,31,00
7, 1990, 01,30,00, 1990, 02,05,00
8, 1990, 02,04,00, 1990, 02,10,00
9, 1990, 02,09,00, 1990, 02,15,00
10, 1990, 02,14,00, 1990, 02,20,00
11, 1990, 02,19,00, 1990, 02,25,00
12, 1990, 02,24,00, 1990, 03,02,00
13, 1990, 03,01,00, 1990, 03,07,00
14, 1990, 03,06,00, 1990, 03,12,00
15, 1990, 03,11,00, 1990, 03,17,00
16, 1990, 03,16,00, 1990, 03,22,00
17, 1990, 03,21,00, 1990, 03,27,00
18, 1990, 03,26,00, 1990, 04,01,00
19, 1990, 03,31,00, 1990, 04,06,00
20, 1990, 04,05,00, 1990, 04,11,00
21, 1990, 04,10,00, 1990, 04,16,00
22, 1990, 04,15,00, 1990, 04,21,00
23, 1990, 04,20,00, 1990, 04,26,00
24, 1990, 04,25,00, 1990, 05,01,00
25, 1990, 04,30,00, 1990, 05,06,00
26, 1990, 05,05,00, 1990, 05,11,00
27, 1990, 05,10,00, 1990, 05,16,00
28, 1990, 05,15,00, 1990, 05,21,00
29, 1990, 05,20,00, 1990, 05,26,00
30, 1990, 05,25,00, 1990, 05,31,00
31, 1990, 05,30,00, 1990, 06,05,00
32, 1990, 06,04,00, 1990, 06,10,00
33, 1990, 06,09,00, 1990, 06,15,00
34, 1990, 06,14,00, 1990, 06,20,00
35, 1990, 06,19,00, 1990, 06,25,00
36, 1990, 06,24,00, 1990, 06,30,00
37, 1990, 06,29,00, 1990, 07,05,00
38, 1990, 07,04,00, 1990, 07,10,00
39, 1990, 07,09,00, 1990, 07,15,00
40, 1990, 07,14,00, 1990, 07,20,00
41, 1990, 07,19,00, 1990, 07,25,00
42, 1990, 07,24,00, 1990, 07,30,00
43, 1990, 07,29,00, 1990, 08,04,00
44, 1990, 08,03,00, 1990, 08,09,00
45, 1990, 08,08,00, 1990, 08,14,00
46, 1990, 08,13,00, 1990, 08,19,00
47, 1990, 08,18,00, 1990, 08,24,00
48, 1990, 08,23,00, 1990, 08,29,00
49, 1990, 08,28,00, 1990, 09,03,00
50, 1990, 09,02,00, 1990, 09,08,00
51, 1990, 09,07,00, 1990, 09,13,00
52, 1990, 09,12,00, 1990, 09,18,00
53, 1990, 09,17,00, 1990, 09,23,00
54, 1990, 09,22,00, 1990, 09,28,00
55, 1990, 09,27,00, 1990, 10,03,00
56, 1990, 10,02,00, 1990, 10,08,00
57, 1990, 10,07,00, 1990, 10,13,00
58, 1990, 10,12,00, 1990, 10,18,00
59, 1990, 10,17,00, 1990, 10,23,00
60, 1990, 10,22,00, 1990, 10,28,00
61, 1990, 10,27,00, 1990, 11,02,00
62, 1990, 11,01,00, 1990, 11,07,00
63, 1990, 11,06,00, 1990, 11,12,00
64, 1990, 11,11,00, 1990, 11,17,00
65, 1990, 11,16,00, 1990, 11,22,00
66, 1990, 11,21,00, 1990, 11,27,00
67, 1990, 11,26,00, 1990, 12,02,00
68, 1990, 12,01,00, 1990, 12,07,00
69, 1990, 12,06,00, 1990, 12,12,00
70, 1990, 12,11,00, 1990, 12,17,00
71, 1990, 12,16,00, 1990, 12,22,00
72, 1990, 12,21,00, 1990, 12,27,00
73, 1990, 12,26,00, 1991, 01,01,00
74, 1990, 12,31,00, 1991, 01,06,00
75, 1991, 01,05,00, 1991, 01,11,00
76, 1991, 01,10,00, 1991, 01,16,00
77, 1991, 01,15,00, 1991, 01,21,00
78, 1991, 01,20,00, 1991, 01,26,00
79, 1991, 01,25,00, 1991, 01,31,00
80, 1991, 01,30,00, 1991, 02,05,00
81, 1991, 02,04,00, 1991, 02,10,00
82, 1991, 02,09,00, 1991, 02,15,00
83, 1991, 02,14,00, 1991, 02,20,00
84, 1991, 02,19,00, 1991, 02,25,00
85, 1991, 02,24,00, 1991, 03,02,00
86, 1991, 03,01,00, 1991, 03,07,00
87, 1991, 03,06,00, 1991, 03,12,00
88, 1991, 03,11,00, 1991, 03,17,00
89, 1991, 03,16,00, 1991, 03,22,00
90, 1991, 03,21,00, 1991, 03,27,00
91, 1991, 03,26,00, 1991, 04,01,00
92, 1991, 03,31,00, 1991, 04,06,00
93, 1991, 04,05,00, 1991, 04,11,00
94, 1991, 04,10,00, 1991, 04,16,00
95, 1991, 04,15,00, 1991, 04,21,00
96, 1991, 04,20,00, 1991, 04,26,00
97, 1991, 04,25,00, 1991, 05,01,00
98, 1991, 04,30,00, 1991, 05,06,00
99, 1991, 05,05,00, 1991, 05,11,00
100, 1991, 05,10,00, 1991, 05,16,00
101, 1991, 05,15,00, 1991, 05,21,00
102, 1991, 05,20,00, 1991, 05,26,00
103, 1991, 05,25,00, 1991, 05,31,00
104, 1991, 05,30,00, 1991, 06,05,00
105, 1991, 06,04,00, 1991, 06,10,00
106, 1991, 06,09,00, 1991, 06,15,00
107, 1991, 06,14,00, 1991, 06,20,00
108, 1991, 06,19,00, 1991, 06,25,00
109, 1991, 06,24,00, 1991, 06,30,00
110, 1991, 06,29,00, 1991, 07,05,00
111, 1991, 07,04,00, 1991, 07,10,00
112, 1991, 07,09,00, 1991, 07,15,00
113, 1991, 07,14,00, 1991, 07,20,00
114, 1991, 07,19,00, 1991, 07,25,00
115, 1991, 07,24,00, 1991, 07,30,00
116, 1991, 07,29,00, 1991, 08,04,00
117, 1991, 08,03,00, 1991, 08,09,00
118, 1991, 08,08,00, 1991, 08,14,00
119, 1991, 08,13,00, 1991, 08,19,00
120, 1991, 08,18,00, 1991, 08,24,00
121, 1991, 08,23,00, 1991, 08,29,00
122, 1991, 08,28,00, 1991, 09,03,00
123, 1991, 09,02,00, 1991, 09,08,00
124, 1991, 09,07,00, 1991, 09,13,00
125, 1991, 09,12,00, 1991, 09,18,00
126, 1991, 09,17,00, 1991, 09,23,00
127, 1991, 09,22,00, 1991, 09,28,00
128, 1991, 09,27,00, 1991, 10,03,00
129, 1991, 10,02,00, 1991, 10,08,00
130, 1991, 10,07,00, 1991, 10,13,00
131, 1991, 10,12,00, 1991, 10,18,00
132, 1991, 10,17,00, 1991, 10,23,00
133, 1991, 10,22,00, 1991, 10,28,00
134, 1991, 10,27,00, 1991, 11,02,00
135, 1991, 11,01,00, 1991, 11,07,00
136, 1991, 11,06,00, 1991, 11,12,00
137, 1991, 11,11,00, 1991, 11,17,00
138, 1991, 11,16,00, 1991, 11,22,00
139, 1991, 11,21,00, 1991, 11,27,00
140, 1991, 11,26,00, 1991, 12,02,00
141, 1991, 12,01,00, 1991, 12,07,00
142, 1991, 12,06,00, 1991, 12,12,00
143, 1991, 12,11,00, 1991, 12,17,00
144, 1991, 12,16,00, 1991, 12,22,00
145, 1991, 12,21,00, 1991, 12,27,00
146, 1991, 12,26,00, 1992, 01,01,00
147, 1991, 12,31,00, 1992, 01,06,00
148, 1992, 01,05,00, 1992, 01,11,00
149, 1992, 01,10,00, 1992, 01,16,00
150, 1992, 01,15,00, 1992, 01,21,00
151, 1992, 01,20,00, 1992, 01,26,00
152, 1992, 01,25,00, 1992, 01,31,00
153, 1992, 01,30,00, 1992, 02,05,00
154, 1992, 02,04,00, 1992, 02,10,00
155, 1992, 02,09,00, 1992, 02,15,00
156, 1992, 02,14,00, 1992, 02,20,00
157, 1992, 02,19,00, 1992, 02,25,00
158, 1992, 02,24,00, 1992, 03,01,00
159, 1992, 02,29,00, 1992, 03,06,00
160, 1992, 03,05,00, 1992, 03,11,00
161, 1992, 03,10,00, 1992, 03,16,00
162, 1992, 03,15,00, 1992, 03,21,00
163, 1992, 03,20,00, 1992, 03,26,00
164, 1992, 03,25,00, 1992, 03,31,00
165, 1992, 03,30,00, 1992, 04,05,00
166, 1992, 04,04,00, 1992, 04,10,00
167, 1992, 04,09,00, 1992, 04,15,00
168, 1992, 04,14,00, 1992, 04,20,00
169, 1992, 04,19,00, 1992, 04,25,00
170, 1992, 04,24,00, 1992, 04,30,00
171, 1992, 04,29,00, 1992, 05,05,00
172, 1992, 05,04,00, 1992, 05,10,00
173, 1992, 05,09,00, 1992, 05,15,00
174, 1992, 05,14,00, 1992, 05,20,00
175, 1992, 05,19,00, 1992, 05,25,00
176, 1992, 05,24,00, 1992, 05,30,00
177, 1992, 05,29,00, 1992, 06,04,00
178, 1992, 06,03,00, 1992, 06,09,00
179, 1992, 06,08,00, 1992, 06,14,00
180, 1992, 06,13,00, 1992, 06,19,00
181, 1992, 06,18,00, 1992, 06,24,00
182, 1992, 06,23,00, 1992, 06,29,00
183, 1992, 06,28,00, 1992, 07,04,00
184, 1992, 07,03,00, 1992, 07,09,00
185, 1992, 07,08,00, 1992, 07,14,00
186, 1992, 07,13,00, 1992, 07,19,00
187, 1992, 07,18,00, 1992, 07,24,00
188, 1992, 07,23,00, 1992, 07,29,00
189, 1992, 07,28,00, 1992, 08,03,00
190, 1992, 08,02,00, 1992, 08,08,00
191, 1992, 08,07,00, 1992, 08,13,00
192, 1992, 08,12,00, 1992, 08,18,00
193, 1992, 08,17,00, 1992, 08,23,00
